book,gross_exposure,path,seed,ending_after_tax_wealth,after_tax_cagr,gross_losses_realized,gross_losses_liquidation,disallowed_wash_losses,net_realized_pre_liquidation,tax_benefit_used,unused_loss_carry,liquidation_tax,tracking_error,max_drawdown,annual_turnover,management_fees,borrow_costs,transaction_costs,payments_in_lieu,dividend_taxes,debit_interest,min_margin_excess_ratio,max_net_exposure_error,maintenance_deficiency_observed,feasible_at_inception,deleverage_events,final_exposure_scale,yearly_taxes_paid
150/50,2.0,159,166,780106.6193392389,-0.024526678388577916,2098411.116326907,70946.89535291182,191627.02584933594,-227129.39471467293,190484.12306835188,-0.0,16681.361760291853,0.10537567633438069,-0.5010947151673826,2.3072822562235724,40423.447546925396,35247.21288665229,22337.364282005186,61095.16900353065,43128.87571463998,2500.79530280112,0.46187144979256983,0.03238021312461303,False,True,0,1.0,94859.63062274137
150/50,2.0,160,167,985801.638953516,-0.0014289902347732752,2125657.047818295,72292.86676225168,172687.88788403544,-45566.78812437781,166419.14575479546,-0.0,49460.62096623413,0.11965866514293473,-0.5256989826371343,2.335729554618489,41216.09218447469,35305.1231358966,23248.355876817146,61195.54676888745,43846.09414146388,4568.176546582017,0.45986193100204215,0.035137380109930616,False,True,0,1.0,179325.89720204638
150/50,2.0,161,168,1354216.9244795998,0.03078674129659431,2230044.800995197,31294.543527902337,201743.10359355982,416157.1650259482,138119.57734491964,-0.0,111677.0995555774,0.09254021835244469,-0.33595300269495465,2.3427599742124183,46601.13805024025,39754.110869956006,26668.02133610223,68907.12550792373,49041.559532645995,3311.1123754404816,0.4567183093293356,0.024276821600082377,False,True,0,1.0,386655.7258999094
150/50,2.0,162,169,1186903.546094364,0.017282427880694673,2468273.3703261516,16777.793602620357,151563.77243528268,127398.91652144653,138654.1222486343,-0.0,83101.86606683157,0.12173024948711225,-0.3669325336752506,2.2406915311005484,51583.05874276936,44016.90739541547,27825.276591789985,76295.97281872011,54744.32084072908,6962.031445436951,0.4608802084265953,0.03097362034296136,False,True,0,1.0,237682.49297247245
150/50,2.0,163,170,1696524.9341583692,0.05428013786437891,3081380.9428884657,21550.17818871866,140397.24059196614,377712.8678758758,65872.7871685292,-0.0,259533.15331425698,0.10054510278814292,-0.2593281575201324,2.318385146056889,65819.86168507166,54814.581106082056,36804.928969755296,95011.94058387558,68847.35960422811,6868.71637030878,0.46312601736621484,0.033688297827967784,False,True,0,1.0,486667.14247464435
150/50,2.0,164,171,2993844.4370452883,0.11589395008840864,2442698.5160712632,200126.79935345435,332919.0652569619,2158092.3219842375,59439.01719995393,-0.0,362696.8345509829,0.09645671038934832,-0.22972301562251418,2.1666990323977755,81317.89964124223,67748.50043804702,43716.939553289434,117430.73409261488,85338.14509813124,14347.291098459784,0.4634592999822539,0.0401620753531573,False,True,0,1.0,1113995.056285791
150/50,2.0,165,172,1058345.385520237,0.005686781852140221,2217876.7454785085,9434.496559920364,146685.94693732954,-14283.060208143725,120900.50869488588,-0.0,23327.24651560818,0.11484229830378442,-0.45290986309791537,2.4134478156111205,48189.21125571477,41455.29573148013,27823.71860801302,71855.84593456556,51409.0301128268,5616.1415097606905,0.45858270604554763,0.031190303103436512,False,True,0,1.0,170771.6845081891
150/50,2.0,166,173,866240.2158179419,-0.014256699249456828,2394193.405351109,74060.89290793818,153505.41621587015,-103669.16065415172,166096.78612533375,40669.44645473205,0.0,0.11329923259553272,-0.437052811860152,2.4378340765836763,42734.6600974244,37221.82175530454,24869.20182910491,64517.82437586121,45621.8338694722,4926.893560417845,0.45652463416687383,0.05546298700740104,False,True,0,1.0,128002.45596519957
150/50,2.0,167,174,881389.1950328429,-0.012546230058499419,2040464.1946488018,48454.767875555415,132988.50885347763,-286681.85718266194,209641.77263859584,-0.0,56071.159652842216,0.1064181161751178,-0.4961256765051807,2.103877893108372,37420.38026101036,32244.72446314101,19201.05149792232,55890.855736111065,39913.50308683373,3206.7482999644712,0.46276666103175224,0.032805553917161334,False,True,0,1.0,123512.71517404691
150/50,2.0,168,175,1664491.5325550642,0.05227235047503598,2522535.5718933567,17712.160477506517,230361.25121927296,749167.5752413829,170661.22377591237,-0.0,155210.40990904177,0.11818704950124242,-0.492405516528453,2.3710158953328415,59730.02673910574,50638.54840744268,34180.689095726426,87773.48390623396,63208.58248159007,8381.103606840366,0.4634066443923074,0.039185664601875,False,True,0,1.0,558026.6032043903
150/50,2.0,169,176,1168785.7406744794,0.01571879892997985,3440661.653962086,203891.25269059298,373587.908153926,407811.2944755004,104121.24023299624,179694.85106725106,0.0,0.10610805697178828,-0.514245616839365,2.372102730918658,68677.52915378373,58128.37252418103,38308.625758949915,100755.84570858048,72051.07609485007,6624.103639360442,0.45213293441409264,0.04034866281736471,False,True,0,1.0,313305.43334715016
150/50,2.0,170,177,2459440.6529197088,0.09416705640466638,3642846.3258158066,194958.9276555409,388145.4714906669,1780426.1914633857,51430.63968341922,-0.0,224869.06627726858,0.12015080971149408,-0.2778649117076788,2.1830072129627602,86486.5706956286,73522.65126485097,45674.83124815166,127439.26219240832,91353.60139086645,15869.543099687835,0.4563270720823814,0.03181103950307107,False,True,0,1.0,740421.992696474
150/50,2.0,171,178,2133170.623136221,0.07870467125481695,3223289.965985646,19990.63819652135,398242.59061828704,1535185.4974656934,96710.29524775749,-0.0,268347.6569096253,0.11522324228258099,-0.36167071634441417,2.1422535494311847,79944.87143985405,69520.76609175249,41440.50059645216,120502.66122570436,84947.5493440746,9957.685305746982,0.4572363875420656,0.03736909286721346,False,True,0,1.0,799120.8931522546
150/50,2.0,172,179,1237920.1878886665,0.02157266707299854,1918706.7873686047,30716.382072058434,173319.44008850446,212983.77247778978,111992.1083705445,-0.0,96855.06742993562,0.08957434986010934,-0.2639193908233284,2.4972360932859945,42738.94509513084,36836.377898925646,26034.388589451515,63849.72169147113,45545.83248516424,4180.916787894204,0.46045957013917094,0.02580460582135946,False,True,0,1.0,257191.3587554397
150/50,2.0,173,180,1035595.0395589243,0.003503741699352192,1907719.5743921178,14135.224970207535,135058.63090386003,-141792.460160645,182997.63776543405,-0.0,80114.72155724745,0.12870739285345778,-0.5614040950765993,2.271812287037204,36530.52372317532,32095.647301215842,20408.419982493557,55632.45532210745,39229.60325782618,3384.441345323044,0.46377734928609043,0.028951882950855268,False,True,0,1.0,174265.21832204255
150/50,2.0,174,181,1509786.486957051,0.04205718737857067,2616549.4429042973,183416.97080341278,326594.2858680769,940859.3309849747,57367.98593622703,-0.0,57471.519201584226,0.10157320780233724,-0.3533165698243036,2.1000840032582193,68558.06835387945,59062.084436299636,34535.92171209712,102374.27968958604,72895.71853136907,10913.634008213028,0.45979343136297585,0.03101961672650244,False,True,0,1.0,395445.7973523619
150/50,2.0,175,182,1230066.2635132647,0.02092267737900655,2436820.0626054173,86555.51637488003,222982.68729714997,532394.8522951887,135810.4826823264,-0.0,7925.849215700641,0.10328837143464253,-0.3470113824394848,2.4481188406672305,51927.09683950561,44626.91401509377,30377.25272857708,77353.31762616252,55123.35254220516,8207.465864422798,0.45957735589425003,0.03807628645728922,False,True,0,1.0,356440.96149714675
150/50,2.0,176,183,1770132.5355993228,0.05876744334754114,2269981.751266279,47262.11196502546,349719.6049884835,1201790.170845946,51038.690536842056,-0.0,115877.8327060453,0.10307874792042156,-0.24653085999596858,2.3416010401569367,59850.81464934283,52441.783688841766,34100.17758570309,90899.0917273257,63960.06577491123,7209.735568510768,0.46243708089560037,0.031810228894825876,False,True,0,1.0,493395.15118294244
