scenario,book,gross_exposure,path,seed,ending_after_tax_wealth,after_tax_cagr,gross_losses_realized,gross_losses_liquidation,disallowed_wash_losses,net_realized_pre_liquidation,tax_benefit_used,unused_loss_carry,liquidation_tax,tracking_error,max_drawdown,annual_turnover,management_fees,borrow_costs,transaction_costs,payments_in_lieu,dividend_taxes,debit_interest,min_margin_excess_ratio,avg_long_exposure,avg_short_exposure,max_net_exposure_error,maintenance_deficiency_observed,feasible_at_inception,insolvent,deleverage_events,extension_scale,yearly_taxes_paid
"Annual gains, zero alpha, high costs",200/100,3.0,70,77,754549.5789826673,-0.027770536855748262,3284341.892524056,814.973727122072,0.0,-441393.83232175093,240518.51701195378,-0.0,112166.27001885949,0.17512300813540815,-0.5580933552559821,4.75327943085541,75301.38039174833,141752.09788212768,119465.09327696072,105301.55842672345,49908.82094096085,7953.806590336048,0.18623625124403856,2.01702364749098,1.0066001117259624,0.03253447612476856,False,True,False,0,1.0,154774.14951889645
"Annual gains, zero alpha, high costs",200/100,3.0,71,78,781963.8824196652,-0.024294687980588203,3488544.618585038,2300.701643522435,0.0,-370373.7637868063,256940.83511503146,-0.0,100228.99504704666,0.1507813943308445,-0.6442632889432851,4.827239179508926,76802.74489527282,148225.62857543756,123594.402728585,110110.46694175364,51504.72785104886,7452.875172705527,0.19107903269990253,2.015302979624168,1.0049318172987862,0.03024262364948349,False,True,False,0,1.0,177526.8633572681
"Annual gains, zero alpha, high costs",200/100,3.0,72,79,965372.8683177028,-0.0035178837202316515,3864497.669603258,813.4296121672728,0.0,-177040.29260965256,205469.263153505,-0.0,142124.08476121115,0.15871512887057407,-0.5515739958378556,4.640444867205469,85263.92057282603,162524.30203526706,132568.9361333893,120732.33865476977,57031.262397364706,12343.524841101138,0.18444280816664513,2.021064692545943,1.0049559674934723,0.04399976192173716,False,True,False,0,1.0,198878.4500105728
"Annual gains, zero alpha, high costs",200/100,3.0,73,80,740242.2025970863,-0.029629949187628624,3046854.9991639145,7.768209399457156,0.0,-345554.7297104628,233551.0158126636,-0.0,77139.83870422468,0.1522317898143151,-0.5220247398797766,4.953893954871343,66434.80355447231,127594.54988834818,110291.92312238098,94784.5227742015,44607.895067926955,9529.414480056013,0.18863101603822358,2.019895630095363,1.003069118899548,0.047891679696757894,False,True,False,0,1.0,144397.98990037496
"Annual gains, zero alpha, high costs",200/100,3.0,74,81,1206983.1725303144,0.01899046811954319,5233150.018083561,7012.082395395309,0.0,88333.58374002801,156973.39626375216,-0.0,195066.2924486555,0.16487357860482865,-0.4785164211726076,4.651549954034192,126491.81469639724,233630.2825908903,194616.28387931056,173553.9242103756,83043.29432741406,13647.124528915529,0.1893519165376513,2.0164812024992775,1.006787618341677,0.03115810069305791,False,True,False,0,1.0,344861.56015777105
"Annual gains, zero alpha, high costs",200/100,3.0,75,82,1439450.3512881824,0.037097694953632576,4801877.458517991,7429.252363794427,0.0,387793.0678306116,104190.07165726274,-0.0,209067.48880000346,0.15478120982253563,-0.447769316640686,4.466765913782095,132812.69829260674,247082.78059370624,197648.39825147856,183547.20844103885,87386.96329216851,11947.923436122646,0.18824497666317178,2.012909868445456,1.005230354997919,0.0327313126959059,False,True,False,0,1.0,386670.0016573176
"Annual gains, zero alpha, high costs",200/100,3.0,76,83,599891.579227454,-0.0498169551309493,2937282.4430544516,9167.5268634906,0.0,-558550.2645762998,258639.17282824166,-0.0,70137.22606289732,0.16778045925428473,-0.6597282787340687,4.857800569118447,62939.18220516437,121580.2291396381,102113.17517223895,90316.74164658833,42277.15626357215,6995.531357079665,0.18257202593040764,2.0179128874502688,1.006280192762366,0.040468808791719546,False,True,False,0,1.0,94326.77296063397
"Annual gains, zero alpha, high costs",200/100,3.0,77,84,787633.7795377559,-0.023589517244852476,3688215.144934734,925.9038214321986,0.0,-238501.13273414172,193131.90377867036,-0.0,102834.11702478564,0.1672334093071543,-0.5492980192404069,4.378517104795049,88478.83361445768,165450.81217865174,129184.97329095888,122906.317618427,58417.60131519546,9075.774686174469,0.18795019880537403,2.014097573445981,1.0059975275354713,0.0315850433974989,False,True,False,0,1.0,198700.7000194993
"Annual gains, zero alpha, high costs",200/100,3.0,78,85,841718.239606294,-0.01708339071154763,4723055.079061397,510.81798611088,0.0,-146497.4119181313,238129.31776206882,-0.0,89826.84213497404,0.16684870514685718,-0.5961420898922174,4.577592659038034,110153.86613540218,211774.68772925,165662.5076776431,157318.33945601434,73936.86899252828,14586.37306305919,0.18884055489269774,2.018777954694401,1.004449742467423,0.03711416862934569,False,True,False,0,1.0,198523.47779885173
"Annual gains, zero alpha, high costs",200/100,3.0,79,86,604969.5173428906,-0.049015695403706205,2842060.5282752644,0.0,0.0,-494168.3509942674,256903.7104967229,-0.0,49329.861220138104,0.16798780836245114,-0.7207982998936767,5.042396502363394,56557.21773457671,109871.68454105905,95790.34070757392,81618.96565907243,38060.56746107136,5696.398851784225,0.18319067937780434,2.017681560783884,1.0104515571679875,0.028912315963295132,False,True,False,0,1.0,110934.69358351306
"Annual gains, zero alpha, high costs",200/100,3.0,80,87,638254.380133617,-0.04390866903916779,4894157.910944119,7268.164965855822,0.0,-384348.24000790337,240843.54282215674,-0.0,111902.76960305624,0.1873354595004074,-0.7617600416289121,4.438099410501564,108698.3345232711,207961.61964666465,157889.96359790323,154485.7745946652,72618.03881589582,11370.039007885687,0.18826792057734748,2.015987627253036,1.0073098479278961,0.02850899533751039,False,True,False,0,1.0,172738.4245920353
"Annual gains, zero alpha, high costs",200/100,3.0,81,88,1863779.3934364947,0.06423968755658604,5996462.935062936,23246.414574663395,0.0,1202405.599442497,93848.7893078217,-0.0,253958.23000256706,0.1288615541406711,-0.32884559448335426,4.704802908892603,168585.61532848168,309814.2700794124,262572.337833216,230147.74348756342,110542.02521682798,20722.761694217104,0.18638624885799487,2.019250358459135,1.0082736531669312,0.03666720541780388,False,True,False,0,1.0,721351.8486062018
"Annual gains, zero alpha, high costs",200/100,3.0,82,89,636627.7739399929,-0.04415261103995627,3338496.448716048,4323.330520617252,0.0,-413401.8438202975,284071.069725035,-0.0,56058.08170167934,0.12233288222303537,-0.7159195997750162,4.925730387904076,75555.15202478397,143029.2505521816,123085.48759304866,106250.30041019201,50088.03720030193,5880.635470339266,0.18862032251334365,2.0137244429261987,1.0089168807399065,0.030038430714023345,False,True,False,0,1.0,170161.7664256279
"Annual gains, zero alpha, high costs",200/100,3.0,83,90,494099.01182046905,-0.06807406404068983,2315228.330724496,260.07985843524534,0.0,-699545.5164213219,292784.2615146141,-0.0,29707.82805737963,0.17270661454199485,-0.7715515017671274,5.258146661175825,39987.41347500131,77280.19417120285,71413.59579340144,57408.14424146499,26794.334373685804,3201.316399599528,0.1862302769761132,2.0142107752334066,1.0077681726729577,0.027927997715912367,False,True,False,0,1.0,51275.29796641538
"Annual gains, zero alpha, high costs",200/100,3.0,84,91,1157914.5496008545,0.014770073749218016,6128205.461349638,9776.540826560495,0.0,366015.5455510103,135932.88091972165,-0.0,117995.85934148592,0.14422679496213933,-0.39803470686256104,4.813617973338534,140705.78974246548,266368.3288976821,221900.88052385912,197873.6157525638,93534.02929779059,15450.76245465376,0.18855497774634528,2.015798814009754,1.0061695563548896,0.03819867185540993,False,True,False,0,1.0,334570.7095274054
"Annual gains, zero alpha, high costs",200/100,3.0,85,92,1344278.7082647462,0.03002776612623359,4422150.281472231,18560.469525527627,0.0,324434.0129377803,170475.08971118263,-0.0,229134.5506468045,0.15144231132610633,-0.3670877093296748,4.485973919402253,113612.1612402433,210073.96935004246,171215.3590813933,156054.94866003146,74411.35218773763,7991.856542049062,0.18498765823550342,2.0146371976708024,1.009416665472365,0.03237103314938583,False,True,False,0,1.0,448144.0850955277
"Annual gains, zero alpha, high costs",200/100,3.0,86,93,871932.0812260846,-0.013610897222293028,3634682.5877170586,88.00693619010133,0.0,-369221.6330951512,269085.8398741583,-0.0,159954.1857435923,0.18535388779806616,-0.5485347987069505,4.252709404649954,94374.15335170107,174868.62277119159,133833.18049106706,129902.40548717084,61942.10717820887,7956.424376146109,0.18169010125917273,2.0146149004867953,1.0071375535481377,0.03474275778038094,False,True,False,0,1.0,241815.34932430106
